FX,ex_sec,ex_cost,opt_sec,opt_cost
226,0.08,36,0.12,6
227,0.07,40,0.24,9
228,0.07,33,0.11,6
229,0.08,39,0.29,9
230,0.08,39,0.22,9
231,0.08,38,0.4,10
232,0.07,38,0.29,9
233,0.08,37,0.88,15
234,0.07,34,0.08,4
235,0.08,36,0.16,8
236,0.08,37,0.1,4
237,0.07,43,0.15,8
238,0.07,38,0.08,4
239,0.07,43,0.12,6
240,0.07,33,0.07,2
241,0.07,33,0.08,4
242,0.07,42,0.08,4
243,0.07,37,0.08,4
244,0.07,38,0.08,4
245,0.07,40,0.08,4
246,0.07,37,0.17,8
247,0.07,39,0.15,6
248,0.07,40,0.1,4
249,0.07,41,0.17,8
250,0.07,43,0.08,4
251,0.07,40,0.16,6
252,0.07,45,0.08,4
253,0.07,38,0.16,6
254,0.07,39,0.14,6
255,0.07,46,0.08,2
256,0.11,32,0.11,6
257,0.08,32,0.08,4
258,0.08,39,0.22,11
259,0.07,35,0.13,6
260,0.1,41,0.23,11
261,0.08,36,0.13,6
262,0.08,35,0.5,17
263,0.08,39,0.28,9
264,0.08,37,0.26,12
265,0.08,33,0.19,10
266,0.08,34,0.19,10
267,0.08,34,0.13,6
268,0.1,39,0.19,10
269,0.07,34,0.13,6
270,0.08,38,0.29,12
271,0.08,36,0.08,4
272,0.08,42,0.23,11
273,0.08,34,0.12,6
274,0.09,40,0.53,17
275,0.07,34,0.24,9
276,0.09,43,0.41,17
277,0.07,37,0.32,9
278,0.18,38,1.71,22
279,0.07,38,0.77,11
280,0.09,39,0.5,17
281,0.07,39,0.37,12
282,0.08,40,0.45,15
283,0.07,35,0.28,10
284,0.08,41,0.4,15
285,0.08,34,0.34,10
286,0.08,39,1.47,17
287,0.07,39,0.15,7
288,0.08,35,0.2,12
289,0.07,33,0.19,10
290,0.07,36,0.19,10
291,0.07,35,0.12,6
292,0.11,42,0.47,17
293,0.08,36,0.3,12
294,0.09,39,0.42,15
295,0.08,38,0.28,10
296,0.13,41,0.49,17
297,0.08,38,0.4,15
298,0.08,36,0.28,12
299,0.07,35,0.3,10
300,0.07,37,0.39,16
301,0.07,38,0.33,12
302,0.08,34,0.35,12
303,0.08,42,0.16,6
304,0.08,35,0.19,10
305,0.07,39,0.13,6
306,0.07,40,0.36,12
307,0.08,38,0.08,4
308,0.08,40,0.48,15
309,0.07,33,0.28,10
310,0.1,42,0.74,17
311,0.07,38,0.18,7
312,0.07,34,0.54,16
313,0.09,40,0.31,12
314,0.09,41,0.4,12
315,0.07,41,0.13,6
316,0.08,42,0.46,12
317,0.08,41,0.31,10
318,0.08,40,1.07,15
319,0.07,33,0.12,6
320,0.09,38,0.21,12
321,0.07,35,0.22,10
322,0.11,40,0.57,17
323,0.07,35,0.32,12
324,0.08,37,0.18,10
325,0.08,37,0.14,6
326,0.12,37,0.37,15
327,0.09,45,0.35,10
328,0.08,38,0.47,17
329,0.08,37,0.4,15
330,0.09,35,0.42,16
331,0.08,35,0.31,12
332,0.08,33,0.31,12
333,0.07,35,0.26,10
334,0.08,39,0.31,12
335,0.07,37,0.13,6
336,0.07,40,0.18,10
337,0.07,36,0.15,6
338,0.09,40,0.4,15
339,0.08,40,0.25,10
340,0.08,36,0.34,12
341,0.07,41,0.1,4
342,0.16,40,0.76,17
343,0.07,37,0.17,7
344,0.08,41,0.49,16
345,0.08,39,0.29,12
346,0.09,39,0.31,12
347,0.08,42,0.32,10
348,0.1,39,0.31,12
349,0.07,42,0.13,6
350,0.09,41,0.95,15
351,0.07,36,0.13,6
352,0.15,43,0.53,17
353,0.09,40,0.53,15
354,0.11,36,0.52,16
355,0.09,39,0.41,12
356,0.08,42,0.44,16
357,0.08,40,0.33,12
358,0.08,36,0.46,12
359,0.13,39,0.31,10
360,0.17,43,1.39,23
361,0.11,40,1.68,21
362,0.1,40,0.92,18
363,0.08,41,1.4,16
364,0.09,38,0.83,18
365,0.09,39,1.02,16
366,0.08,38,0.9,15
367,0.07,38,0.3,10
368,0.08,31,0.34,12
369,0.08,41,0.28,10
370,0.08,36,0.41,12
371,0.07,38,0.13,6
372,0.08,36,0.43,12
373,0.07,33,0.15,6
374,0.08,39,0.93,15
375,0.09,43,0.12,6
376,0.09,42,0.75,18
377,0.1,42,1.38,16
378,0.08,38,1.36,15
379,0.08,41,0.3,10
380,0.09,42,1.14,15
381,0.08,44,0.31,10
382,0.08,41,1.57,16
383,0.08,33,0.3,8
384,0.07,33,0.21,12
385,0.08,35,0.19,10
386,0.13,43,0.37,16
387,0.08,38,0.28,11
388,0.09,41,0.49,16
389,0.07,34,0.32,11
390,0.18,41,1.5,22
391,0.08,37,0.71,15
392,0.08,34,0.18,10
393,0.08,33,0.12,6
394,0.08,39,0.32,11
395,0.08,42,0.24,9
396,0.08,39,0.27,11
397,0.08,35,0.25,9
398,0.09,42,0.83,15
399,0.07,38,0.12,6
400,0.08,35,0.39,16
401,0.09,40,0.24,11
402,0.13,39,1.4,22
403,0.08,39,0.95,15
404,0.1,40,1.68,22
405,0.08,35,0.99,15
406,0.3,45,5.07,27
407,0.08,41,3.18,17
408,0.09,39,0.48,15
409,0.07,36,0.31,10
410,0.1,43,0.73,17
411,0.08,39,0.6,11
412,0.09,39,0.84,17
413,0.08,38,0.44,11
414,0.08,40,4.4,20
415,0.08,40,0.3,9
416,0.08,34,0.17,10
417,0.08,46,0.16,6
418,0.09,39,0.34,11
419,0.08,34,0.28,9
420,0.09,42,0.46,15
421,0.08,33,0.28,10
422,0.1,42,0.96,17
423,0.08,38,0.46,11
424,0.08,37,0.3,12
425,0.08,34,0.29,9
426,0.07,35,0.11,6
427,0.07,37,0.11,6
428,0.1,41,0.34,12
429,0.08,40,0.37,10
430,0.07,38,0.21,10
431,0.07,40,0.11,6
432,0.07,36,0.28,11
433,0.07,36,0.28,9
434,0.07,35,0.75,15
435,0.07,41,0.13,6
436,0.08,41,0.96,17
437,0.07,39,0.63,11
438,0.11,43,2.6,20
439,0.1,37,0.27,9
440,0.08,35,0.35,12
441,0.07,37,0.31,10
442,0.08,38,0.2,10
443,0.07,33,0.11,6
444,0.1,42,1.13,15
445,0.07,41,0.55,11
446,0.07,36,0.31,12
447,0.07,40,0.18,7
448,0.07,33,0.18,10
449,0.07,38,0.14,6
450,0.08,38,0.47,15
451,0.08,35,0.32,10
452,0.08,34,0.24,11
453,0.08,38,0.26,9
454,0.12,44,0.79,17
455,0.08,39,0.5,11
456,0.08,38,0.33,12
457,0.08,35,0.31,9
458,0.08,38,0.34,12
459,0.08,38,0.28,10
460,0.05,44,0.08,6
461,0.05,30,0.07,6
462,0.05,38,0.12,10
463,0.05,40,0.07,6
464,0.05,34,0.15,11
465,0.05,38,0.15,9
466,0.08,45,0.51,17
467,0.05,41,0.36,11
468,0.05,40,0.48,15
469,0.05,38,0.06,6
470,0.08,40,1.83,20
471,0.06,36,0.17,9
472,0.05,33,0.25,12
473,0.05,32,0.2,10
474,0.06,42,0.54,15
475,0.05,36,0.45,11
476,0.05,35,0.12,10
477,0.04,40,0.07,6
478,0.05,36,0.24,12
479,0.05,41,0.11,7
480,0.05,35,0.2,12
481,0.05,41,0.2,9
482,0.05,38,0.2,12
483,0.05,37,0.25,10
484,0.05,38,0.22,12
485,0.05,39,0.21,10
486,0.05,42,0.54,15
487,0.05,33,0.45,11
488,0.05,39,0.63,15
489,0.05,39,0.35,11
490,0.05,36,0.15,10
491,0.05,33,0.1,8
492,0.05,39,0.12,10
493,0.05,42,0.12,8
494,0.05,36,0.13,8
495,0.05,39,0.12,8
496,0.05,39,0.08,6
497,0.05,36,0.07,6
498,0.05,36,0.12,10
499,0.05,46,0.07,6
500,0.05,35,0.12,10
501,0.05,40,0.07,6
502,0.05,37,0.24,12
503,0.05,36,0.14,7
504,0.05,37,0.13,10
505,0.05,35,0.11,8
506,0.05,36,0.12,8
507,0.05,37,0.13,8
508,0.05,39,0.13,8
509,0.05,42,0.13,8
510,0.05,39,0.19,10
511,0.05,43,0.07,6
512,0.04,37,0.07,6
513,0.05,36,0.13,11
514,0.05,36,0.05,4
515,0.05,37,0.07,6
516,0.05,37,0.13,12
517,0.05,32,0.12,10
518,0.05,40,0.11,10
519,0.05,36,0.07,6
520,0.05,34,0.12,11
521,0.05,39,0.29,17
522,0.05,39,0.08,6
523,0.05,41,0.19,9
524,0.05,40,0.12,10
525,0.05,34,0.18,12
526,0.05,38,0.07,6
527,0.05,41,0.06,4
528,0.05,38,0.13,12
529,0.05,33,0.13,10
530,0.05,34,0.12,10
531,0.05,35,0.07,6
532,0.08,43,0.3,17
533,0.05,37,0.21,12
534,0.05,34,0.33,15
535,0.05,40,0.2,10
536,0.07,42,0.29,17
537,0.06,41,0.3,15
538,0.05,37,0.18,12
539,0.05,43,0.19,10
540,0.06,38,0.24,16
541,0.05,38,0.23,12
542,0.05,38,0.25,12
