FX,ex_sec,ex_cost,opt_sec,opt_cost
0,0.01,13,0.01,0
1,0.01,14,0.01,4
2,0.02,13,0.01,4
3,0.02,12,0.01,2
4,0.01,14,0.01,4
5,0.01,12,0.02,2
6,0.02,14,0.01,6
7,0.01,11,0.01,4
8,0.01,11,0.01,4
9,0.03,13,0.02,6
10,0.02,11,0.01,2
11,0.01,9,0.02,4
12,0.02,14,0.01,2
13,0.02,13,0.01,4
14,0.02,12,0.02,4
15,0.02,14,0.01,3
16,0.02,11,0.02,4
17,0.01,12,0.01,2
18,0.01,12,0.02,6
19,0.02,14,0.02,4
20,0.02,12,0.02,6
21,0.02,12,0.01,4
22,0.06,nan,0.03,nan
23,0.03,15,0.07,12
24,0.02,16,0.02,6
25,0.02,10,0.02,6
26,0.01,12,0.02,6
27,0.01,13,0.02,4
28,0.02,13,0.02,6
29,0.02,12,0.01,4
30,0.02,14,0.05,9
31,0.02,13,0.02,5
32,0.01,11,0.01,4
33,0.02,13,0.01,6
34,0.01,12,0.01,2
35,0.01,12,0.02,4
36,0.01,13,0.02,6
37,0.01,13,0.02,6
38,0.02,11,0.02,6
39,0.02,15,0.01,4
40,0.02,12,0.02,6
41,0.06,nan,0.04,nan
42,0.02,14,0.01,4
43,0.02,16,0.11,12
44,0.02,13,0.01,6
45,0.02,13,0.05,9
46,0.02,15,0.02,4
47,0.01,16,0.01,5
48,0.02,14,0.01,2
49,0.01,14,0.02,4
50,0.01,11,0.01,4
51,0.02,13,0.02,3
52,0.02,13,0.02,6
53,0.01,13,0.01,4
54,0.02,12,0.04,9
55,0.01,16,0.02,5
56,0.02,14,0.02,6
57,0.02,13,0.04,9
58,0.02,14,0.02,4
59,0.02,16,0.01,5
60,0.02,13,0.02,4
61,0.01,14,0.02,6
62,0.02,14,0.02,6
63,0.01,15,0.01,5
64,0.02,12,0.01,4
65,0.02,12,0.01,6
66,0.02,13,0.02,6
67,0.01,11,0.02,6
68,0.01,12,0.02,2
69,0.02,13,0.01,4
70,0.02,15,0.02,6
71,0.02,11,0.02,4
72,0.02,14,0.02,6
73,0.06,nan,0.03,nan
74,0.02,13,0.02,6
75,0.02,13,0.04,9
76,0.02,9,0.01,4
77,0.02,14,0.08,12
78,0.01,14,0.02,4
79,0.01,16,0.02,5
80,0.02,14,0.01,2
81,0.02,13,0.01,4
82,0.02,15,0.02,6
83,0.02,15,0.01,4
84,0.01,14,0.01,4
85,0.02,15,0.01,3
86,0.01,14,0.05,9
87,0.01,16,0.02,5
88,0.02,13,0.01,6
89,0.02,15,0.04,9
90,0.01,13,0.02,4
91,0.01,12,0.02,6
92,0.01,12,0.01,4
93,0.02,15,0.01,5
94,0.01,15,0.02,6
95,0.02,16,0.01,5
96,0.02,12,0.02,6
97,0.08,nan,0.03,nan
98,0.02,12,0.02,6
99,0.02,12,0.05,9
100,0.02,14,0.02,6
101,0.02,14,0.05,9
102,0.02,11,0.01,4
103,0.02,14,0.02,6
104,0.06,nan,0.04,nan
105,0.1,nan,0.03,nan
106,0.03,12,0.04,9
107,0.09,14,0.1,14
108,0.02,13,0.04,9
109,0.1,14,0.1,14
110,0.02,13,0.02,6
111,0.01,12,0.03,7
112,0.02,15,0.02,4
113,0.03,15,0.08,12
114,0.02,13,0.01,4
115,0.02,14,0.02,5
116,0.02,12,0.01,4
117,0.01,14,0.01,5
118,0.02,13,0.02,6
119,0.01,13,0.02,5
120,0.02,13,0.04,9
121,0.08,14,0.11,14
122,0.02,16,0.02,6
123,0.02,17,0.03,7
124,0.01,12,0.02,6
125,0.02,14,0.03,7
126,0.01,15,0.02,6
127,0.02,16,0.02,7
128,0.02,12,0.01,4
129,0.02,14,0.02,6
130,0.02,12,0.01,6
131,0.02,13,0.02,6
132,0.02,15,0.02,6
133,0.01,13,0.02,6
134,0.06,nan,0.03,nan
135,0.02,14,0.05,9
136,0.02,12,0.01,2
137,0.01,14,0.01,6
138,0.02,13,0.01,4
139,0.02,15,0.01,4
140,0.01,12,0.01,4
141,0.01,16,0.02,4
142,0.04,15,0.07,12
143,0.01,14,0.01,5
144,0.02,13,0.02,6
145,0.02,13,0.01,6
146,0.07,nan,0.03,nan
147,0.02,14,0.05,9
148,0.06,nan,0.02,nan
149,0.02,14,0.04,9
150,0.07,nan,0.05,nan
151,0.02,15,0.1,14
152,0.02,15,0.01,6
153,0.02,15,0.01,4
154,0.02,14,0.05,9
155,0.02,13,0.01,6
156,0.02,14,0.05,9
157,0.02,14,0.02,6
158,0.02,15,0.09,14
159,0.02,12,0.03,7
160,0.01,14,0.01,2
161,0.02,14,0.01,6
162,0.02,11,0.02,4
163,0.02,11,0.01,4
164,0.02,12,0.02,6
165,0.01,14,0.01,4
166,0.01,14,0.06,9
167,0.02,15,0.02,6
168,0.02,15,0.01,4
169,0.02,14,0.07,9
170,0.02,14,0.01,3
171,0.02,14,0.02,5
172,0.02,16,0.01,4
173,0.02,14,0.02,6
174,0.02,12,0.01,5
175,0.01,15,0.01,5
176,0.02,13,0.02,4
177,0.02,15,0.01,4
178,0.04,15,0.09,12
179,0.01,16,0.02,5
180,0.02,14,0.05,9
181,0.02,13,0.03,6
182,0.05,14,0.2,14
183,0.02,14,0.03,7
184,0.01,15,0.02,4
185,0.02,13,0.02,6
186,0.01,14,0.02,5
187,0.01,18,0.01,5
188,0.02,12,0.02,6
189,0.01,15,0.03,6
190,0.02,13,0.02,7
191,0.02,14,0.03,7
192,0.02,12,0.01,2
193,0.02,13,0.02,6
194,0.01,15,0.01,6
195,0.01,14,0.01,4
196,0.02,14,0.02,4
197,0.02,13,0.01,4
198,0.02,13,0.05,9
199,0.01,15,0.02,6
200,0.01,14,0.01,4
201,0.02,13,0.04,9
202,0.02,10,0.02,4
203,0.01,14,0.02,6
204,0.02,11,0.01,3
205,0.02,12,0.01,5
206,0.02,13,0.02,5
207,0.02,14,0.01,5
208,0.02,16,0.02,4
209,0.01,13,0.02,4
210,0.02,15,0.04,9
211,0.02,13,0.02,6
212,0.03,15,0.1,12
213,0.01,14,0.01,5
214,0.08,15,0.08,14
215,0.01,16,0.03,7
216,0.02,14,0.01,4
217,0.02,14,0.02,6
218,0.02,11,0.02,6
219,0.01,15,0.02,6
220,0.02,13,0.01,5
221,0.01,13,0.01,5
222,0.01,15,0.03,7
223,0.01,12,0.02,7
224,0.01,13,0.01,4
225,0.02,11,0.04,9
226,0.02,14,0.01,4
227,0.02,13,0.02,6
228,0.01,15,0.01,4
229,0.02,15,0.03,6
230,0.02,15,0.03,6
231,0.01,12,0.02,6
232,0.02,15,0.09,12
233,0.06,14,0.09,14
234,0.01,15,0.01,5
235,0.02,15,0.03,7
236,0.01,15,0.02,5
237,0.01,16,0.02,7
238,0.01,15,0.01,5
239,0.01,16,0.03,7
240,0.02,13,0.01,3
241,0.01,12,0.01,5
242,0.01,13,0.01,5
243,0.02,15,0.01,5
244,0.02,16,0.01,5
245,0.02,16,0.01,5
246,0.02,15,0.03,7
247,0.02,12,0.03,7
248,0.02,16,0.01,5
249,0.02,17,0.03,7
250,0.02,14,0.02,5
251,0.02,16,0.03,7
252,0.02,14,0.01,5
253,0.02,14,0.03,7
254,0.02,14,0.03,7
255,0.01,20,0.01,4
,,,,
,,,,
,,,,
,,,,
,,10,,
,,246,,
