FX,ex_sec,ex_cost,opt_sec,opt_cost
19275,0.04,12,0.1,9
19276,0.27,nan,0.12,nan
19277,0.33,nan,0.05,nan
19278,0.05,14,0.13,11
19279,0.03,14,0.17,11
19280,0.15,13,0.09,13
19281,0.32,nan,0.06,nan
19282,0.25,nan,0.08,nan
19283,0.04,13,0.08,11
19284,0.24,nan,0.14,nan
19285,0.11,11,0.12,11
19286,0.34,nan,0.09,nan
19287,0.06,11,0.05,8
19288,0.16,nan,0.08,nan
19289,0.19,nan,0.22,nan
19290,0.04,12,0.13,11
19291,0.1,13,0.11,11
19292,0.35,nan,0.08,nan
19293,0.41,nan,0.07,nan
19294,0.64,nan,0.13,nan
19295,0.05,11,0.08,8
19296,0.13,nan,0.06,nan
19297,0.14,nan,0.05,nan
19298,0.2,nan,0.12,nan
19299,0.16,nan,0.07,nan
19300,0.14,nan,0.05,nan
19301,0.18,nan,0.05,nan
19302,0.18,nan,0.06,nan
19303,0.11,nan,0.05,nan
19304,0.13,nan,0.06,nan
19305,0.3,nan,0.07,nan
19306,0.19,nan,0.08,nan
19307,0.3,nan,0.13,nan
19308,0.14,nan,0.06,nan
19309,0.36,nan,0.06,nan
19310,0.28,nan,0.11,nan
19311,0.35,nan,0.11,nan
19312,0.22,nan,0.09,nan
19313,0.25,nan,0.06,nan
19314,0.45,nan,0.09,nan
19315,0.06,13,0.05,9
19316,0.18,nan,0.08,nan
19317,0.33,nan,0.08,nan
19318,0.28,nan,0.1,nan
19319,0.11,12,0.16,12
19320,0.23,nan,0.11,nan
19321,0.34,nan,0.09,nan
19322,0.39,nan,0.09,nan
19323,0.09,13,0.12,10
19324,0.35,nan,0.08,nan
19325,0.3,nan,0.08,nan
19326,0.28,nan,0.14,nan
19327,0.09,12,0.14,10
19328,0.19,nan,0.03,nan
19329,0.18,nan,0.05,nan
19330,0.29,nan,0.05,nan
19331,0.3,nan,0.06,nan
19332,0.18,nan,0.04,nan
19333,0.18,nan,0.06,nan
19334,0.19,nan,0.06,nan
19335,0.27,nan,0.06,nan
19336,0.21,nan,0.06,nan
19337,0.16,nan,0.04,nan
19338,0.2,nan,0.04,nan
19339,0.34,nan,0.07,nan
19340,0.22,nan,0.06,nan
19341,0.16,nan,0.06,nan
19342,0.21,nan,0.07,nan
19343,0.21,nan,0.06,nan
19344,0.16,nan,0.06,nan
19345,0.2,nan,0.05,nan
19346,0.2,nan,0.05,nan
19347,0.11,nan,0.07,nan
19348,0.19,nan,0.07,nan
19349,0.36,nan,0.08,nan
19350,0.38,nan,0.06,nan
19351,0.31,nan,0.07,nan
19352,0.37,nan,0.04,nan
19353,0.31,nan,0.08,nan
19354,0.5,nan,0.11,nan
19355,0.47,nan,0.07,nan
19356,0.17,nan,0.05,nan
19357,0.37,nan,0.07,nan
19358,0.15,nan,0.06,nan
19359,0.32,nan,0.07,nan
19360,0.34,nan,0.07,nan
19361,0.2,nan,0.05,nan
19362,0.24,nan,0.07,nan
19363,0.32,nan,0.04,nan
19364,0.15,nan,0.08,nan
19365,0.14,nan,0.07,nan
19366,0.14,nan,0.06,nan
19367,0.33,nan,0.05,nan
19368,0.36,nan,0.09,nan
19369,0.18,nan,0.04,nan
19370,0.16,nan,0.06,nan
19371,0.08,12,0.13,12
19372,0.28,nan,0.08,nan
19373,0.16,nan,0.05,nan
19374,0.28,nan,0.09,nan
19375,0.33,nan,0.1,nan
19376,0.3,nan,0.08,nan
19377,0.28,nan,0.05,nan
19378,0.27,nan,0.11,nan
19379,0.27,nan,0.08,nan
19380,0.17,nan,0.12,nan
19381,0.33,nan,0.1,nan
19382,0.3,nan,0.11,nan
19383,0.38,nan,0.11,nan
19384,0.62,nan,0.1,nan
19385,0.22,nan,0.06,nan
19386,0.34,nan,0.1,nan
19387,0.44,nan,0.12,nan
19388,0.33,nan,0.12,nan
19389,0.41,nan,0.53,nan
19390,0.56,nan,0.1,nan
19391,0.23,nan,0.15,nan
19392,0.11,13,0.13,13
19393,0.32,nan,0.11,nan
19394,0.46,nan,0.1,nan
19395,0.09,13,0.14,11
19396,0.32,nan,0.12,nan
19397,0.23,nan,0.05,nan
19398,0.27,nan,0.08,nan
