FX,ex_sec,ex_cost,opt_sec,opt_cost
0,0.02,8,0.02,0
1,0.03,13,0.04,6
2,0.05,10,0.04,6
3,0.03,11,0.03,4
4,0.03,11,0.03,6
5,0.03,10,0.03,4
6,0.05,12,0.05,8
7,0.03,12,0.03,6
8,0.03,12,0.03,6
9,0.04,11,0.04,8
10,0.03,12,0.03,4
11,0.03,13,0.04,6
12,0.02,13,0.03,4
13,0.03,12,0.03,6
14,0.03,14,0.03,6
15,0.03,13,0.02,2
16,0.03,12,0.02,6
17,0.03,14,0.02,4
18,0.04,13,0.04,8
19,0.03,13,0.04,6
20,0.04,13,0.04,8
21,0.03,12,0.04,6
22,0.13,nan,0.03,nan
23,0.22,nan,0.1,nan
24,0.08,nan,0.03,nan
25,0.26,nan,0.05,nan
26,0.14,nan,0.03,nan
27,0.04,12,0.04,6
28,0.09,nan,0.05,nan
29,0.04,14,0.04,6
30,0.2,nan,0.05,nan
31,0.03,10,0.03,4
32,0.03,12,0.02,6
33,0.05,13,0.05,8
34,0.02,15,0.02,4
35,0.03,12,0.03,6
36,0.12,nan,0.03,nan
37,0.17,nan,0.03,nan
38,0.2,nan,0.03,nan
39,0.03,14,0.04,6
40,0.04,12,0.05,8
41,0.19,nan,0.04,nan
42,0.03,13,0.03,6
43,0.24,nan,0.1,nan
44,0.13,nan,0.03,nan
45,0.2,nan,0.06,nan
46,0.05,10,0.04,6
47,0.03,13,0.02,4
48,0.03,12,0.02,4
49,0.03,12,0.03,6
50,0.03,16,0.03,6
51,0.02,11,0.02,2
52,0.15,nan,0.04,nan
53,0.03,13,0.04,6
54,0.2,nan,0.05,nan
55,0.03,13,0.03,4
56,0.07,nan,0.05,nan
57,0.16,nan,0.06,nan
58,0.03,10,0.04,6
59,0.03,14,0.03,4
60,0.03,13,0.03,6
61,0.3,nan,0.09,nan
62,0.31,nan,0.08,nan
63,0.03,9,0.02,4
64,0.03,12,0.03,6
65,0.06,13,0.05,8
66,0.11,nan,0.03,nan
67,0.15,nan,0.04,nan
68,0.03,12,0.02,4
69,0.03,14,0.04,6
70,0.11,nan,0.03,nan
71,0.07,14,0.04,6
72,0.04,12,0.04,8
73,0.1,nan,0.05,nan
74,0.19,nan,0.04,nan
75,0.15,nan,0.03,nan
76,0.03,15,0.03,6
77,0.26,nan,0.06,nan
78,0.03,12,0.04,6
79,0.03,16,0.03,4
80,0.03,10,0.02,4
81,0.03,14,0.03,6
82,0.16,nan,0.05,nan
83,0.03,14,0.04,6
84,0.03,12,0.03,6
85,0.03,11,0.03,2
86,0.15,nan,0.05,nan
87,0.03,16,0.03,4
88,0.2,nan,0.05,nan
89,0.08,nan,0.06,nan
90,0.07,13,0.04,6
91,0.35,nan,0.13,nan
92,0.06,11,0.03,6
93,0.03,9,0.03,4
94,0.41,nan,0.12,nan
95,0.03,11,0.02,4
96,0.08,12,0.04,8
97,0.17,nan,0.03,nan
98,0.13,nan,0.03,nan
99,0.2,nan,0.05,nan
100,0.16,nan,0.04,nan
101,0.24,nan,0.07,nan
102,0.04,12,0.04,6
103,0.32,nan,0.08,nan
104,0.07,nan,0.03,nan
105,0.13,nan,0.05,nan
106,0.2,nan,0.05,nan
107,0.17,nan,0.07,nan
108,0.22,nan,0.05,nan
109,0.12,nan,0.06,nan
110,0.26,nan,0.1,nan
111,0.06,11,0.04,6
112,0.03,12,0.03,6
113,0.21,nan,0.09,nan
114,0.04,13,0.03,6
115,0.03,14,0.03,4
116,0.04,11,0.03,6
117,0.02,15,0.04,4
118,0.27,nan,0.12,nan
119,0.03,14,0.03,4
120,0.16,nan,0.04,nan
121,0.22,nan,0.07,nan
122,0.37,nan,0.11,nan
123,0.04,10,0.03,6
124,0.44,nan,0.09,nan
125,0.04,13,0.04,6
126,0.45,nan,0.14,nan
127,0.03,16,0.04,6
128,0.03,9,0.03,6
129,0.09,nan,0.03,nan
130,0.03,11,0.05,8
131,0.2,nan,0.04,nan
132,0.04,12,0.04,8
133,0.19,nan,0.03,nan
134,0.09,nan,0.04,nan
135,0.14,nan,0.05,nan
136,0.03,14,0.02,4
137,0.07,nan,0.04,nan
138,0.03,11,0.03,6
139,0.04,14,0.04,6
140,0.03,12,0.03,6
141,0.03,11,0.04,6
142,0.35,nan,0.08,nan
143,0.04,8,0.04,4
144,0.05,12,0.04,8
145,0.15,nan,0.03,nan
146,0.13,nan,0.06,nan
147,0.17,nan,0.05,nan
148,0.09,nan,0.04,nan
149,0.23,nan,0.08,nan
150,0.22,nan,0.04,nan
151,0.23,nan,0.06,nan
152,0.16,nan,0.04,nan
153,0.05,12,0.03,6
154,0.18,nan,0.04,nan
155,0.4,nan,0.1,nan
156,0.18,nan,0.06,nan
157,0.29,nan,0.1,nan
158,0.22,nan,0.05,nan
159,0.03,13,0.05,6
160,0.03,11,0.02,4
161,0.16,nan,0.04,nan
162,0.03,16,0.04,6
163,0.03,11,0.04,6
164,0.18,nan,0.05,nan
165,0.04,11,0.03,6
166,0.11,nan,0.06,nan
167,0.32,nan,0.09,nan
168,0.04,12,0.02,6
169,0.2,nan,0.04,nan
170,0.03,15,0.02,2
171,0.03,9,0.03,4
172,0.04,13,0.04,6
173,0.5,nan,0.11,nan
174,0.03,12,0.02,4
175,0.03,12,0.03,4
176,0.03,11,0.03,6
177,0.03,13,0.03,6
178,0.31,nan,0.09,nan
179,0.03,11,0.02,4
180,0.18,nan,0.06,nan
181,0.28,nan,0.08,nan
182,0.21,nan,0.06,nan
183,0.05,14,0.03,6
184,0.05,12,0.03,6
185,0.56,nan,0.13,nan
186,0.03,14,0.03,4
187,0.03,12,0.02,4
188,0.25,nan,0.13,nan
189,0.46,nan,0.22,nan
190,0.05,12,0.05,6
191,0.05,13,0.04,6
192,0.03,9,0.02,4
193,0.23,nan,0.04,nan
194,0.11,nan,0.03,nan
195,0.03,13,0.04,6
196,0.03,11,0.03,6
197,0.03,13,0.04,6
198,0.11,nan,0.04,nan
199,0.39,nan,0.09,nan
200,0.03,13,0.03,6
201,0.19,nan,0.05,nan
202,0.04,14,0.04,6
203,0.22,nan,0.08,nan
204,0.03,10,0.02,2
205,0.03,14,0.04,4
206,0.04,11,0.03,4
207,0.03,9,0.03,4
208,0.03,12,0.04,6
209,0.03,16,0.04,6
210,0.25,nan,0.05,nan
211,0.58,nan,0.12,nan
212,0.3,nan,0.07,nan
213,0.03,14,0.03,4
214,0.14,nan,0.05,nan
215,0.05,12,0.03,6
216,0.04,13,0.04,6
217,0.3,nan,0.08,nan
218,0.5,nan,0.07,nan
219,0.48,nan,0.22,nan
220,0.03,10,0.03,4
221,0.03,14,0.02,4
222,0.05,13,0.03,6
223,0.05,14,0.04,6
224,0.04,12,0.02,6
225,0.3,nan,0.05,nan
226,0.04,14,0.04,6
227,0.36,nan,0.1,nan
228,0.06,13,0.03,6
229,0.43,nan,0.09,nan
230,0.21,nan,0.09,nan
231,0.35,nan,0.08,nan
232,0.33,nan,0.08,nan
233,0.3,nan,0.05,nan
234,0.03,14,0.03,4
235,0.05,15,0.05,6
236,0.03,12,0.03,4
237,0.1,14,0.04,6
238,0.03,12,0.03,4
239,0.04,14,0.04,6
240,0.03,13,0.02,2
241,0.03,13,0.03,4
242,0.03,12,0.03,4
243,0.03,13,0.03,4
244,0.03,12,0.03,4
245,0.03,14,0.03,4
246,0.03,13,0.04,6
247,0.03,15,0.04,6
248,0.03,12,0.03,4
249,0.04,14,0.05,6
250,0.03,12,0.03,4
251,0.03,14,0.04,6
252,0.03,13,0.03,4
253,0.03,13,0.04,6
254,0.05,11,0.03,6
255,0.03,15,0.03,3
256,0.03,13,0.03,6
257,0.03,10,0.03,4
258,0.07,13,0.04,8
259,0.03,12,0.03,6
260,0.06,12,0.04,8
261,0.03,12,0.03,6
262,0.15,nan,0.04,nan
263,0.46,nan,0.07,nan
264,0.13,nan,0.03,nan
265,0.17,nan,0.04,nan
266,0.1,nan,0.05,nan
267,0.04,14,0.04,6
268,0.21,nan,0.05,nan
269,0.04,10,0.04,6
270,0.24,nan,0.04,nan
271,0.03,14,0.03,4
272,0.06,13,0.04,8
273,0.03,15,0.04,6
274,0.23,nan,0.05,nan
275,0.4,nan,0.06,nan
276,0.18,nan,0.04,nan
277,0.25,nan,0.05,nan
278,0.17,nan,0.08,nan
279,0.38,nan,0.05,nan
280,0.11,nan,0.04,nan
281,0.17,nan,0.06,nan
282,0.15,nan,0.05,nan
283,0.16,nan,0.06,nan
284,0.27,nan,0.05,nan
285,0.21,nan,0.07,nan
286,0.2,nan,0.05,nan
287,0.06,14,0.08,11
288,0.17,nan,0.03,nan
289,0.12,nan,0.03,nan
290,0.27,nan,0.03,nan
291,0.08,13,0.03,6
292,0.13,nan,0.05,nan
293,0.17,nan,0.03,nan
294,0.12,nan,0.06,nan
295,0.36,nan,0.06,nan
296,0.14,nan,0.03,nan
297,0.23,nan,0.04,nan
298,0.21,nan,0.04,nan
299,0.42,nan,0.08,nan
300,0.23,nan,0.04,nan
301,0.17,nan,0.04,nan
302,0.28,nan,0.05,nan
303,0.32,nan,0.04,nan
304,0.13,nan,0.04,nan
305,0.04,13,0.04,6
306,0.35,nan,0.05,nan
307,0.03,9,0.03,4
308,0.19,nan,0.06,nan
309,0.25,nan,0.07,nan
310,0.13,nan,0.06,nan
311,0.05,14,0.07,11
312,0.15,nan,0.04,nan
313,0.26,nan,0.05,nan
314,0.33,nan,0.07,nan
315,0.26,nan,0.08,nan
316,0.3,nan,0.05,nan
317,0.46,nan,0.06,nan
318,0.41,nan,0.05,nan
319,0.6,nan,0.07,nan
320,0.1,nan,0.03,nan
321,0.06,nan,0.04,nan
322,0.09,nan,0.04,nan
323,0.23,nan,0.04,nan
324,0.08,nan,0.03,nan
325,0.03,14,0.04,6
326,0.1,nan,0.03,nan
327,0.14,nan,0.04,nan
328,0.12,nan,0.05,nan
329,0.09,nan,0.04,nan
330,0.17,nan,0.04,nan
331,0.07,nan,0.04,nan
332,0.18,nan,0.03,nan
333,0.3,nan,0.05,nan
334,0.17,nan,0.05,nan
335,0.21,nan,0.04,nan
336,0.11,nan,0.03,nan
337,0.04,12,0.04,6
338,0.1,nan,0.04,nan
339,0.21,nan,0.07,nan
340,0.15,nan,0.04,nan
341,0.03,13,0.02,4
342,0.09,nan,0.05,nan
343,0.11,14,0.08,11
344,0.13,nan,0.06,nan
345,0.13,nan,0.05,nan
346,0.2,nan,0.04,nan
347,0.15,nan,0.04,nan
348,0.2,nan,0.05,nan
349,0.3,nan,0.06,nan
350,0.16,nan,0.05,nan
351,0.24,nan,0.08,nan
352,0.18,nan,0.03,nan
353,0.17,nan,0.03,nan
354,0.12,nan,0.03,nan
355,0.14,nan,0.04,nan
356,0.18,nan,0.04,nan
357,0.19,nan,0.04,nan
358,0.15,nan,0.05,nan
359,0.17,nan,0.04,nan
360,0.17,nan,0.07,nan
361,0.16,nan,0.06,nan
362,0.15,nan,0.03,nan
363,0.17,nan,0.04,nan
364,0.2,nan,0.05,nan
365,0.25,nan,0.05,nan
366,0.27,nan,0.05,nan
367,0.16,nan,0.04,nan
368,0.16,nan,0.04,nan
369,0.35,nan,0.06,nan
370,0.11,nan,0.04,nan
371,0.17,nan,0.04,nan
372,0.23,nan,0.06,nan
373,0.44,nan,0.06,nan
374,0.15,nan,0.03,nan
375,0.31,nan,0.06,nan
376,0.11,nan,0.04,nan
377,0.11,nan,0.04,nan
378,0.16,nan,0.06,nan
379,0.11,nan,0.05,nan
380,0.18,nan,0.05,nan
381,0.26,nan,0.07,nan
382,0.16,nan,0.08,nan
383,0.21,nan,0.07,nan
384,0.11,nan,0.03,nan
385,0.03,13,0.04,8
386,0.18,nan,0.04,nan
387,0.06,13,0.06,11
388,0.15,nan,0.04,nan
389,0.06,12,0.05,11
390,0.11,nan,0.04,nan
391,0.2,nan,0.04,nan
392,0.04,12,0.04,8
393,0.03,14,0.04,6
394,0.13,12,0.06,11
395,0.05,12,0.04,8
396,0.09,12,0.04,11
397,0.04,13,0.05,8
398,0.21,nan,0.1,nan
399,0.06,11,0.04,6
400,0.1,nan,0.04,nan
401,0.06,12,0.05,11
402,0.14,nan,0.04,nan
403,0.3,nan,0.04,nan
404,0.19,nan,0.04,nan
405,0.18,nan,0.05,nan
406,0.16,nan,0.05,nan
407,0.17,nan,0.06,nan
408,0.13,nan,0.04,nan
409,0.04,12,0.05,9
410,0.26,nan,0.04,nan
411,0.36,nan,0.08,nan
412,0.21,nan,0.05,nan
413,0.33,nan,0.07,nan
414,0.3,nan,0.06,nan
415,0.06,14,0.09,13
416,0.06,11,0.04,8
417,0.03,12,0.04,6
418,0.07,12,0.05,11
419,0.05,11,0.04,8
420,0.12,nan,0.05,nan
421,0.06,12,0.05,9
422,0.17,nan,0.07,nan
423,0.38,nan,0.08,nan
424,0.08,12,0.07,11
425,0.04,14,0.05,9
426,0.03,11,0.04,6
427,0.03,13,0.02,6
428,0.27,nan,0.04,nan
429,0.57,nan,0.14,nan
430,0.21,nan,0.06,nan
431,0.03,11,0.03,6
432,0.1,13,0.05,11
433,0.04,14,0.08,8
434,0.22,nan,0.05,nan
435,0.04,12,0.03,6
436,0.13,nan,0.06,nan
437,0.21,nan,0.06,nan
438,0.17,nan,0.08,nan
439,0.09,13,0.07,13
440,0.2,nan,0.05,nan
441,0.67,nan,0.12,nan
442,0.29,nan,0.05,nan
443,0.04,12,0.03,6
444,0.35,nan,0.09,nan
445,0.26,nan,0.13,nan
446,0.26,nan,0.09,nan
447,0.07,15,0.11,11
448,0.06,13,0.04,8
449,0.03,12,0.04,6
450,0.19,nan,0.05,nan
451,0.05,14,0.05,9
452,0.04,12,0.05,11
453,0.03,13,0.04,8
454,0.29,nan,0.05,nan
455,0.28,nan,0.08,nan
456,0.13,12,0.05,11
457,0.03,14,0.05,9
458,0.13,nan,0.07,nan
459,0.36,nan,0.11,nan
460,0.03,10,0.05,6
461,0.03,11,0.04,6
462,0.26,nan,0.05,nan
463,0.03,15,0.03,6
464,0.09,12,0.06,11
465,0.03,12,0.04,8
466,0.21,nan,0.06,nan
467,0.44,nan,0.11,nan
468,0.27,nan,0.05,nan
469,0.03,12,0.03,6
470,0.32,nan,0.04,nan
471,0.08,14,0.21,13
472,0.26,nan,0.09,nan
473,0.3,nan,0.08,nan
474,0.31,nan,0.08,nan
475,0.33,nan,0.1,nan
476,0.12,nan,0.05,nan
477,0.04,14,0.03,6
478,0.2,nan,0.08,nan
479,0.04,14,0.13,11
480,0.1,12,0.06,11
481,0.03,13,0.06,9
482,0.17,nan,0.06,nan
483,0.39,nan,0.09,nan
484,0.22,nan,0.07,nan
485,0.46,nan,0.07,nan
486,0.25,nan,0.06,nan
487,0.32,nan,0.08,nan
488,0.26,nan,0.08,nan
489,0.26,nan,0.09,nan
490,0.04,12,0.05,8
491,0.04,13,0.04,8
492,0.08,12,0.05,8
493,0.03,12,0.07,8
494,0.05,15,0.07,9
495,0.03,13,0.08,9
496,0.03,13,0.02,6
497,0.03,15,0.04,6
498,0.22,nan,0.1,nan
499,0.03,12,0.04,6
500,0.27,nan,0.05,nan
501,0.03,11,0.03,6
502,0.25,nan,0.09,nan
503,0.16,15,0.15,11
504,0.08,12,0.06,8
505,0.04,12,0.06,8
506,0.09,14,0.07,9
507,0.03,12,0.07,9
508,0.1,14,0.08,9
509,0.03,13,0.1,9
510,0.26,nan,0.12,nan
511,0.04,16,0.06,7
512,0.03,12,0.03,6
513,0.05,12,0.05,8
514,0.03,10,0.02,4
515,0.03,12,0.03,6
516,0.1,nan,0.03,nan
517,0.2,nan,0.03,nan
518,0.19,nan,0.05,nan
519,0.03,10,0.03,6
520,0.04,13,0.04,8
521,0.14,nan,0.04,nan
522,0.03,13,0.04,6
523,0.43,nan,0.09,nan
524,0.11,nan,0.03,nan
525,0.22,nan,0.04,nan
526,0.04,12,0.05,6
527,0.03,15,0.03,4
528,0.17,nan,0.03,nan
529,0.22,nan,0.04,nan
530,0.17,nan,0.03,nan
531,0.03,14,0.03,6
532,0.17,nan,0.04,nan
533,0.25,nan,0.05,nan
534,0.17,nan,0.03,nan
535,0.4,nan,0.05,nan
536,0.12,nan,0.05,nan
537,0.23,nan,0.05,nan
538,0.18,nan,0.04,nan
539,0.27,nan,0.06,nan
540,0.25,nan,0.04,nan
541,0.26,nan,0.05,nan
542,0.17,nan,0.04,nan
543,0.36,nan,0.04,nan
544,0.07,12,0.04,8
545,0.16,nan,0.04,nan
546,0.03,11,0.03,6
547,0.44,nan,0.07,nan
548,0.13,nan,0.04,nan
549,0.19,nan,0.05,nan
550,0.16,nan,0.05,nan
551,0.29,nan,0.07,nan
552,0.16,nan,0.05,nan
553,0.14,nan,0.06,nan
554,0.27,nan,0.06,nan
555,0.42,nan,0.09,nan
556,0.22,nan,0.03,nan
557,0.35,nan,0.06,nan
558,0.29,nan,0.09,nan
559,0.07,13,0.08,11
560,0.22,nan,0.04,nan
561,0.19,nan,0.05,nan
562,0.04,14,0.04,6
563,0.03,11,0.03,4
564,0.2,nan,0.04,nan
565,0.13,nan,0.08,nan
566,0.22,nan,0.08,nan
567,0.38,nan,0.09,nan
568,0.18,nan,0.05,nan
569,0.28,nan,0.06,nan
570,0.42,nan,0.07,nan
571,0.05,14,0.07,11
572,0.31,nan,0.05,nan
573,0.31,nan,0.06,nan
574,0.28,nan,0.08,nan
575,0.82,nan,0.1,nan
576,0.18,nan,0.03,nan
577,0.08,nan,0.04,nan
578,0.04,12,0.04,8
579,0.06,13,0.05,11
580,0.05,11,0.04,8
581,0.07,13,0.04,11
582,0.03,13,0.03,6
583,0.03,14,0.04,8
584,0.13,nan,0.05,nan
585,0.2,nan,0.04,nan
586,0.05,13,0.05,11
587,0.22,nan,0.04,nan
588,0.1,12,0.04,11
589,0.19,nan,0.06,nan
590,0.06,14,0.05,8
591,0.03,12,0.03,6
592,0.08,11,0.04,8
593,0.06,11,0.04,11
594,0.03,14,0.03,6
595,0.03,13,0.04,8
596,0.09,13,0.05,11
597,0.04,15,0.04,6
598,0.04,13,0.07,9
599,0.04,12,0.03,6
600,0.2,nan,0.04,nan
601,0.21,nan,0.05,nan
602,0.03,14,0.05,9
603,0.31,nan,0.08,nan
604,0.28,nan,0.06,nan
605,0.26,nan,0.06,nan
606,0.52,nan,0.1,nan
607,0.03,13,0.03,6
608,0.15,nan,0.04,nan
609,0.23,nan,0.04,nan
610,0.06,12,0.05,11
611,0.34,nan,0.06,nan
612,0.25,nan,0.06,nan
613,0.23,nan,0.05,nan
614,0.04,14,0.05,9
615,0.5,nan,0.08,nan
616,0.18,nan,0.04,nan
617,0.19,nan,0.05,nan
618,0.19,nan,0.06,nan
619,0.19,nan,0.08,nan
620,0.26,nan,0.04,nan
621,0.19,nan,0.06,nan
622,0.37,nan,0.08,nan
623,0.38,13,0.09,13
624,0.05,12,0.06,11
625,0.24,nan,0.05,nan
626,0.03,10,0.04,8
627,0.03,12,0.03,6
628,0.36,nan,0.06,nan
629,0.27,nan,0.07,nan
630,0.57,nan,0.13,nan
631,0.05,15,0.04,6
632,0.24,nan,0.06,nan
633,0.21,nan,0.08,nan
634,0.23,nan,0.07,nan
635,0.14,13,0.13,13
636,0.36,nan,0.06,nan
637,0.18,nan,0.12,nan
638,0.58,nan,0.09,nan
639,0.06,14,0.12,11
640,0.09,nan,0.03,nan
641,0.13,nan,0.03,nan
642,0.09,nan,0.03,nan
643,0.15,nan,0.04,nan
644,0.11,nan,0.04,nan
645,0.17,nan,0.03,nan
646,0.1,nan,0.04,nan
647,0.25,nan,0.04,nan
648,0.15,nan,0.03,nan
649,0.32,nan,0.04,nan
650,0.04,10,0.04,6
651,0.25,nan,0.05,nan
652,0.25,nan,0.04,nan
653,0.21,nan,0.04,nan
654,0.49,nan,0.07,nan
655,0.29,nan,0.04,nan
656,0.17,nan,0.05,nan
657,0.3,nan,0.03,nan
658,0.2,nan,0.04,nan
659,0.24,nan,0.05,nan
660,0.16,nan,0.04,nan
661,0.18,nan,0.06,nan
662,0.2,nan,0.05,nan
663,0.23,nan,0.06,nan
664,0.29,nan,0.03,nan
665,0.3,nan,0.06,nan
666,0.17,nan,0.04,nan
667,0.26,nan,0.06,nan
668,0.18,nan,0.04,nan
669,0.34,nan,0.05,nan
670,0.22,nan,0.04,nan
671,0.22,nan,0.05,nan
672,0.1,nan,0.03,nan
673,0.17,nan,0.04,nan
674,0.06,11,0.03,6
675,0.22,nan,0.05,nan
676,0.17,nan,0.04,nan
677,0.21,nan,0.04,nan
678,0.17,nan,0.05,nan
679,0.29,nan,0.06,nan
680,0.3,nan,0.04,nan
681,0.2,nan,0.03,nan
682,0.03,10,0.03,4
683,0.09,14,0.06,11
684,0.23,nan,0.05,nan
685,0.24,nan,0.04,nan
686,0.62,nan,0.07,nan
687,0.4,nan,0.09,nan
688,0.3,nan,0.06,nan
689,0.27,nan,0.05,nan
690,0.47,nan,0.05,nan
691,0.31,nan,0.05,nan
692,0.17,nan,0.04,nan
693,0.21,nan,0.06,nan
694,0.21,nan,0.04,nan
695,0.14,nan,0.04,nan
696,0.32,nan,0.04,nan
697,0.14,nan,0.04,nan
698,0.56,nan,0.06,nan
699,0.34,nan,0.08,nan
700,0.15,nan,0.06,nan
701,0.3,nan,0.05,nan
702,0.37,nan,0.08,nan
703,0.32,nan,0.09,nan
704,0.04,13,0.05,8
705,0.27,nan,0.05,nan
706,0.03,14,0.04,6
707,0.05,13,0.06,9
708,0.11,13,0.06,11
709,0.21,nan,0.05,nan
710,0.04,12,0.05,9
711,0.24,nan,0.08,nan
712,0.08,12,0.05,11
713,0.2,nan,0.05,nan
714,0.04,13,0.04,8
715,0.28,nan,0.1,nan
716,0.05,14,0.03,6
717,0.25,nan,0.06,nan
718,0.03,13,0.03,6
719,0.04,12,0.04,6
720,0.09,12,0.06,11
721,0.22,nan,0.05,nan
722,0.06,11,0.05,9
723,0.47,nan,0.13,nan
724,0.3,nan,0.07,nan
725,0.09,13,0.05,8
726,0.3,nan,0.08,nan
727,0.03,14,0.05,8
728,0.17,nan,0.06,nan
729,0.43,nan,0.09,nan
730,0.41,nan,0.11,nan
731,0.58,nan,0.1,nan
732,0.08,13,0.05,8
733,0.04,14,0.07,9
734,0.03,11,0.05,8
735,0.05,13,0.08,9
736,0.1,13,0.05,11
737,0.09,nan,0.05,nan
738,0.03,13,0.04,8
739,0.26,nan,0.06,nan
740,0.14,nan,0.07,nan
741,0.25,nan,0.07,nan
742,0.35,nan,0.08,nan
743,0.23,nan,0.1,nan
744,0.38,nan,0.06,nan
745,0.37,nan,0.05,nan
746,0.03,10,0.03,6
747,0.19,14,0.13,13
748,0.26,nan,0.08,nan
749,0.22,nan,0.06,nan
750,0.03,13,0.03,6
751,0.05,14,0.13,11
752,0.04,13,0.03,6
753,0.27,nan,0.05,nan
754,0.03,9,0.02,6
755,0.03,13,0.04,6
756,0.07,12,0.05,8
757,0.08,12,0.07,9
758,0.04,13,0.05,8
759,0.03,12,0.11,9
760,0.26,nan,0.05,nan
761,0.36,nan,0.09,nan
762,0.03,13,0.03,6
763,0.13,14,0.09,11
764,0.08,11,0.07,9
765,0.21,nan,0.08,nan
766,0.04,14,0.1,9
767,0.03,12,0.05,7
768,0.03,8,0.03,4
769,0.03,13,0.03,6
770,0.03,12,0.04,6
771,0.03,10,0.02,2
772,0.16,nan,0.05,nan
773,0.05,11,0.05,6
774,0.13,nan,0.05,nan
775,0.03,9,0.03,4
776,0.14,nan,0.04,nan
777,0.16,nan,0.06,nan
778,0.05,11,0.03,6
779,0.03,12,0.03,4
780,0.03,11,0.05,6
781,0.5,nan,0.06,nan
782,0.18,nan,0.14,nan
783,0.03,11,0.03,4
784,0.12,nan,0.03,nan
785,0.05,12,0.03,6
786,0.16,nan,0.05,nan
787,0.03,14,0.03,4
788,0.19,nan,0.04,nan
789,0.36,nan,0.08,nan
790,0.16,nan,0.05,nan
791,0.06,15,0.07,11
792,0.15,nan,0.05,nan
793,0.14,nan,0.07,nan
794,0.13,nan,0.04,nan
795,0.21,nan,0.05,nan
796,0.18,nan,0.07,nan
797,0.42,nan,0.08,nan
798,0.28,nan,0.05,nan
799,0.68,nan,0.25,nan
800,0.17,nan,0.04,nan
801,0.24,nan,0.04,nan
802,0.03,14,0.03,6
803,0.03,13,0.03,4
804,0.14,nan,0.03,nan
805,0.17,nan,0.06,nan
806,0.22,nan,0.05,nan
807,0.24,nan,0.06,nan
808,0.2,nan,0.04,nan
809,0.23,nan,0.05,nan
810,0.16,nan,0.07,nan
811,0.07,15,0.07,11
812,0.19,nan,0.04,nan
813,0.11,nan,0.07,nan
814,0.3,nan,0.07,nan
815,0.38,nan,0.08,nan
816,0.06,13,0.03,6
817,0.52,nan,0.08,nan
818,0.42,nan,0.1,nan
819,0.03,12,0.03,4
820,0.19,nan,0.05,nan
821,0.29,nan,0.08,nan
822,0.25,nan,0.07,nan
823,0.34,nan,0.14,nan
824,0.16,nan,0.07,nan
825,0.34,nan,0.07,nan
826,0.19,nan,0.1,nan
827,0.38,nan,0.09,nan
828,0.38,nan,0.11,nan
829,0.37,nan,0.12,nan
830,0.33,nan,0.08,nan
831,0.11,15,0.25,12
832,0.05,11,0.04,8
833,0.08,11,0.04,11
834,0.05,12,0.04,11
835,0.03,13,0.04,6
836,0.03,10,0.03,6
837,0.05,10,0.04,8
838,0.03,12,0.05,9
839,0.03,12,0.03,6
840,0.08,nan,0.03,nan
841,0.1,nan,0.05,nan
842,0.11,nan,0.06,nan
843,0.23,nan,0.05,nan
844,0.04,14,0.05,9
845,0.22,nan,0.08,nan
846,0.24,nan,0.09,nan
847,0.03,14,0.02,6
848,0.03,11,0.03,6
849,0.03,10,0.05,8
850,0.04,11,0.05,9
851,0.03,13,0.03,6
852,0.04,13,0.06,9
853,0.03,11,0.03,6
854,0.2,nan,0.08,nan
855,0.03,13,0.03,4
856,0.1,nan,0.05,nan
857,0.09,nan,0.06,nan
858,0.18,nan,0.08,nan
859,0.3,nan,0.11,nan
860,0.23,nan,0.13,nan
861,0.6,nan,0.1,nan
862,0.24,nan,0.11,nan
863,0.06,12,0.1,8
864,0.2,nan,0.05,nan
865,0.09,nan,0.04,nan
866,0.24,nan,0.06,nan
867,0.19,nan,0.05,nan
868,0.18,nan,0.05,nan
869,0.1,nan,0.04,nan
870,0.28,nan,0.09,nan
871,0.28,nan,0.1,nan
872,0.13,nan,0.04,nan
873,0.14,nan,0.06,nan
874,0.11,nan,0.07,nan
875,0.2,nan,0.07,nan
876,0.29,nan,0.05,nan
877,0.29,nan,0.06,nan
878,0.31,nan,0.07,nan
879,0.34,nan,0.12,nan
880,0.13,13,0.07,9
881,0.39,nan,0.11,nan
882,0.27,nan,0.16,nan
883,0.03,13,0.04,6
884,0.36,nan,0.09,nan
885,0.51,nan,0.08,nan
886,0.21,nan,0.19,nan
887,0.03,15,0.06,8
888,0.14,nan,0.08,nan
889,0.14,nan,0.07,nan
890,0.16,nan,0.11,nan
891,0.34,nan,0.14,nan
892,0.19,nan,0.1,nan
893,0.25,nan,0.19,nan
894,0.21,nan,0.12,nan
895,0.05,15,0.21,12
896,0.04,13,0.04,8
897,0.16,13,0.06,11
898,0.08,13,0.08,11
899,0.03,13,0.04,6
900,0.18,nan,0.05,nan
901,0.23,nan,0.08,nan
902,0.14,nan,0.05,nan
903,0.22,nan,0.04,nan
904,0.03,13,0.03,6
905,0.1,13,0.08,9
906,0.05,11,0.07,8
907,0.04,12,0.05,6
908,0.13,12,0.07,9
909,0.67,nan,0.09,nan
910,0.19,nan,0.09,nan
911,0.03,11,0.04,6
912,0.12,nan,0.04,nan
913,0.24,nan,0.05,nan
914,0.36,nan,0.04,nan
915,0.2,nan,0.05,nan
916,0.23,nan,0.06,nan
917,0.32,nan,0.05,nan
918,0.19,nan,0.04,nan
